id_employee,start_date,mark
19175,2026-01-01,12
19399,2026-01-01,11
19559,2026-01-01,10
19663,2026-01-01,19
19738,2026-01-01,19
19746,2026-01-01,11
19825,2026-01-01,11
19893,2026-01-01,13
19910,2026-01-01,13
19912,2026-01-01,18
19931,2026-01-01,13
19934,2026-01-01,18
19937,2026-01-01,17
19940,2026-01-01,15
19945,2026-01-01,10
19958,2026-01-01,17
20145,2026-01-01,17
20192,2026-01-01,18
20518,2026-01-01,19
20529,2026-01-01,11
20531,2026-01-01,14
20570,2026-01-01,12
20816,2026-01-01,14
21054,2026-01-01,19
21075,2026-01-01,11
21077,2026-01-01,12
21463,2026-01-01,11
21472,2026-01-01,13
21536,2026-01-01,11
21557,2026-01-01,13
21568,2026-01-01,19
21581,2026-01-01,11
21583,2026-01-01,15
21687,2026-01-01,15
21796,2026-01-01,10
21810,2026-01-01,13
21822,2026-01-01,19
21824,2026-01-01,19
21828,2026-01-01,9
21844,2026-01-01,14
21865,2026-01-01,20
21911,2026-01-01,17
21915,2026-01-01,16
21916,2026-01-01,13
21974,2026-01-01,9
21980,2026-01-01,15
22001,2026-01-01,13
22004,2026-01-01,11
22008,2026-01-01,13
22010,2026-01-01,13
22039,2026-01-01,13
22040,2026-01-01,25
22110,2026-01-01,14
22243,2026-01-01,17
22255,2026-01-01,18
22280,2026-01-01,13
22387,2026-01-01,23
22566,2026-01-01,19
22582,2026-01-01,18
22672,2026-01-01,14
23001,2026-01-01,12
23022,2026-01-01,13
23043,2026-01-01,12
23060,2026-01-01,12
23077,2026-01-01,13
23095,2026-01-01,13
23116,2026-01-01,11
23147,2026-01-01,19
23167,2026-01-01,19
23173,2026-01-01,14
23176,2026-01-01,10
23177,2026-01-01,13
23185,2026-01-01,22
23195,2026-01-01,13
23292,2026-01-01,14
23350,2026-01-01,9
23386,2026-01-01,21
23454,2026-01-01,17
23455,2026-01-01,17
23748,2026-01-01,12
23750,2026-01-01,21
23759,2026-01-01,13
23770,2026-01-01,6
23771,2026-01-01,21
23784,2026-01-01,11
23788,2026-01-01,15
23836,2026-01-01,9
23843,2026-01-01,11
23868,2026-01-01,13
23869,2026-01-01,12
23883,2026-01-01,12
23895,2026-01-01,18
23896,2026-01-01,24
23897,2026-01-01,14
23900,2026-01-01,14
23901,2026-01-01,17
23916,2026-01-01,14
23922,2026-01-01,15
23929,2026-01-01,14
23934,2026-01-01,11
23935,2026-01-01,13
23936,2026-01-01,13
23969,2026-01-01,19
23992,2026-01-01,25
24001,2026-01-01,9
