id_employee,start_date,mark
19175,2025-12-01,13
19399,2025-12-01,12
19663,2025-12-01,20
19738,2025-12-01,23
19741,2025-12-01,15
19746,2025-12-01,12
19825,2025-12-01,15
19893,2025-12-01,16
19910,2025-12-01,15
19912,2025-12-01,18
19931,2025-12-01,13
19934,2025-12-01,21
19937,2025-12-01,22
19940,2025-12-01,15
19945,2025-12-01,13
19958,2025-12-01,24
20145,2025-12-01,21
20192,2025-12-01,22
20518,2025-12-01,23
20529,2025-12-01,13
20531,2025-12-01,14
20570,2025-12-01,15
20816,2025-12-01,19
21054,2025-12-01,22
21075,2025-12-01,17
21077,2025-12-01,17
21463,2025-12-01,13
21472,2025-12-01,15
21499,2025-12-01,23
21536,2025-12-01,13
21557,2025-12-01,17
21568,2025-12-01,22
21581,2025-12-01,12
21583,2025-12-01,15
21687,2025-12-01,19
21796,2025-12-01,14
21810,2025-12-01,16
21822,2025-12-01,18
21824,2025-12-01,22
21828,2025-12-01,10
21844,2025-12-01,15
21865,2025-12-01,21
21911,2025-12-01,20
21915,2025-12-01,15
21916,2025-12-01,15
21974,2025-12-01,15
21980,2025-12-01,15
22001,2025-12-01,12
22004,2025-12-01,15
22008,2025-12-01,15
22010,2025-12-01,15
22039,2025-12-01,16
22040,2025-12-01,16
22065,2025-12-01,13
22110,2025-12-01,15
22243,2025-12-01,21
22255,2025-12-01,23
22280,2025-12-01,11
22319,2025-12-01,4
22387,2025-12-01,24
22566,2025-12-01,24
22582,2025-12-01,23
22672,2025-12-01,17
23001,2025-12-01,14
23022,2025-12-01,19
23043,2025-12-01,15
23060,2025-12-01,15
23077,2025-12-01,18
23095,2025-12-01,16
23116,2025-12-01,15
23147,2025-12-01,21
23167,2025-12-01,22
23173,2025-12-01,16
23176,2025-12-01,12
23177,2025-12-01,17
23185,2025-12-01,25
23195,2025-12-01,17
23292,2025-12-01,17
23350,2025-12-01,11
23386,2025-12-01,23
23454,2025-12-01,15
23455,2025-12-01,15
23748,2025-12-01,20
23750,2025-12-01,17
23759,2025-12-01,15
23770,2025-12-01,10
23771,2025-12-01,21
23784,2025-12-01,13
23788,2025-12-01,20
23836,2025-12-01,12
23843,2025-12-01,11
23868,2025-12-01,16
23869,2025-12-01,13
23883,2025-12-01,17
23895,2025-12-01,21
23896,2025-12-01,25
23897,2025-12-01,19
23900,2025-12-01,16
23901,2025-12-01,17
23916,2025-12-01,17
23922,2025-12-01,16
23929,2025-12-01,17
23934,2025-12-01,14
23935,2025-12-01,16
23936,2025-12-01,14
23969,2025-12-01,20
23970,2025-12-01,1
23992,2025-12-01,25
24001,2025-12-01,15
24130,2025-12-01,18
24220,2025-12-01,22
24228,2025-12-01,11
24349,2025-12-01,17
24370,2025-12-01,14
24392,2025-12-01,16
24414,2025-12-01,15
24461,2025-12-01,18
24474,2025-12-01,12
24480,2025-12-01,10
24485,2025-12-01,13
24520,2025-12-01,15
24526,2025-12-01,15
24530,2025-12-01,12
24534,2025-12-01,14
24535,2025-12-01,13
24551,2025-12-01,15
24557,2025-12-01,15
24558,2025-12-01,15
24561,2025-12-01,21
24563,2025-12-01,15
24568,2025-12-01,14
24582,2025-12-01,14
24596,2025-12-01,14
24599,2025-12-01,22
24606,2025-12-01,13
24616,2025-12-01,17
24618,2025-12-01,13
24619,2025-12-01,13
24620,2025-12-01,14
24621,2025-12-01,12
24622,2025-12-01,15
24623,2025-12-01,22
24624,2025-12-01,12
24627,2025-12-01,21
24630,2025-12-01,12
24631,2025-12-01,12
24632,2025-12-01,14
24633,2025-12-01,12
24634,2025-12-01,13
24635,2025-12-01,22
24636,2025-12-01,11
24637,2025-12-01,21
24644,2025-12-01,12
24645,2025-12-01,11
24646,2025-12-01,12
24647,2025-12-01,12
24648,2025-12-01,13
24649,2025-12-01,13
24656,2025-12-01,13
24657,2025-12-01,13
24661,2025-12-01,16
24663,2025-12-01,9
24664,2025-12-01,17
24666,2025-12-01,15
24667,2025-12-01,25
24668,2025-12-01,10
24669,2025-12-01,24
24674,2025-12-01,21
24675,2025-12-01,11
24679,2025-12-01,12
24680,2025-12-01,15
24681,2025-12-01,13
24683,2025-12-01,12
24684,2025-12-01,12
24694,2025-12-01,16
24695,2025-12-01,18
24700,2025-12-01,16
24701,2025-12-01,19
24706,2025-12-01,18
24712,2025-12-01,20
24715,2025-12-01,10
24727,2025-12-01,17
24728,2025-12-01,11
24729,2025-12-01,15
24731,2025-12-01,17
24737,2025-12-01,12
24742,2025-12-01,13
24744,2025-12-01,16
24750,2025-12-01,13
24751,2025-12-01,13
24755,2025-12-01,13
24756,2025-12-01,14
24764,2025-12-01,13
24765,2025-12-01,14
24776,2025-12-01,13
24780,2025-12-01,12
24782,2025-12-01,12
24783,2025-12-01,13
24784,2025-12-01,12
24785,2025-12-01,10
24791,2025-12-01,11
24792,2025-12-01,15
24852,2025-12-01,12
24853,2025-12-01,11
24854,2025-12-01,12
24855,2025-12-01,13
24856,2025-12-01,12
24857,2025-12-01,12
24858,2025-12-01,13
24859,2025-12-01,11
24861,2025-12-01,12
24864,2025-12-01,11
24866,2025-12-01,12
24867,2025-12-01,11
24868,2025-12-01,12
24871,2025-12-01,12
24877,2025-12-01,13
24878,2025-12-01,12
24882,2025-12-01,11
24883,2025-12-01,12
24886,2025-12-01,11
24898,2025-12-01,13
24902,2025-12-01,13
24904,2025-12-01,13
9020001,2025-12-01,18
9020004,2025-12-01,13
9020014,2025-12-01,13
9020024,2025-12-01,15
9020090,2025-12-01,13
9020105,2025-12-01,13
9020109,2025-12-01,13
9020114,2025-12-01,13
9020115,2025-12-01,13
9020118,2025-12-01,13
9020171,2025-12-01,14
9020177,2025-12-01,14
9020180,2025-12-01,13
9020182,2025-12-01,13
9020186,2025-12-01,13
9020187,2025-12-01,14
